
> agent-pet-desktop@0.0.1-alpha dev
> node electron/dev.mjs --host 127.0.0.1 --port 5174 --strictPort


  [32m[1mVITE[22m v5.4.21[39m  [2mready in [0m[1m2522[22m[2m[0m ms[22m
INFO:     127.0.0.1:59203 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59214 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59219 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59232 - "GET /api/wiki/query-archives?limit=20 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59233 - "GET /api/wiki/schema HTTP/1.1" 200 OK
INFO:     127.0.0.1:59234 - "GET /api/wiki/index HTTP/1.1" 200 OK
INFO:     127.0.0.1:59235 - "GET /api/wiki/log?limit=20 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59236 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:59237 - "GET /api/continuity/state HTTP/1.1" 200 OK
INFO:     127.0.0.1:59238 - "GET /api/continuity/proposals HTTP/1.1" 200 OK
INFO:     127.0.0.1:59239 - "GET /api/memory/proposals HTTP/1.1" 200 OK
INFO:     127.0.0.1:59232 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:59233 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59234 - "GET /api/vaults/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59240 - "GET /api/agent/actions?limit=200 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59232 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:59233 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:59235 - "POST /api/tts/synthesize HTTP/1.1" 200 OK
INFO:     127.0.0.1:59236 - "POST /api/tts/synthesize HTTP/1.1" 200 OK
INFO:     127.0.0.1:59241 - "POST /api/tts/synthesize HTTP/1.1" 200 OK
INFO:     127.0.0.1:59242 - "POST /api/tts/synthesize HTTP/1.1" 200 OK
INFO:     127.0.0.1:59261 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59289 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59317 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59351 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59361 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59395 - "GET /api/tasks HTTP/1.1" 200 OK
INFO:     127.0.0.1:59409 - "GET /api/agent/actions?limit=200 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59410 - "POST /api/chat HTTP/1.1" 200 OK
INFO:     127.0.0.1:59409 - "GET /api/chat/runs/1bd71dcd-0e40-4939-b083-03e2b9551f16/events HTTP/1.1" 200 OK
